,text,favourite_count,retweet_count,created_at
81,RT @xrtghost: Fast and furious 9 set coming soon https://t.co/8w3Lb49LkG,0,7,2021-09-01 09:07:13
82,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:57:35
83,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 08:52:07
84,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:51:01
85,"RT @UniversalIND: If Jakob’s got Cipher, Dom’s got his family. Gear up for the most furious face-off in #F9, releasing on September 3.
Get…",0,4,2021-09-01 08:48:13
86,"RT @UniversalIND: Feel the thrill of the fast ride like never before. Get ready to experience #F9 in IMAX theatres near you,  in English, H…",0,3,2021-09-01 08:48:03
87,RT @UniversalIND: You heard Dom. It's time to get in the car and drive yourselves to the theatres near you to enjoy #F9 releasing on 3rd Se…,0,2,2021-09-01 08:48:00
88,RT @UniversalIND: Take the leap as big as Dom and Letty and jump into the fastest ride of the year. Gear up for #F9 releasing in your nearb…,0,4,2021-09-01 08:47:56
89,"RT @UniversalIND: If Jakob’s got Cipher, Dom’s got his family. Gear up for the most furious face-off in #F9, releasing on September 3.
Get…",0,4,2021-09-01 08:45:53
90,"RT @UniversalIND: If Jakob’s got Cipher, Dom’s got his family. Gear up for the most furious face-off in #F9, releasing on September 3.
Get…",0,4,2021-09-01 08:42:56
91,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:42:39
92,Nw: Fast and Furious 9💯,1,0,2021-09-01 08:42:16
93,"If Jakob’s got Cipher, Dom’s got his family. Gear up for the most furious face-off in #F9, releasing on September 3.
Get tickets: https://t.co/fIHvNd3wei https://t.co/73CNUBxKKl",16,4,2021-09-01 08:37:01
94,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:34:50
95,Fast and Furious 9 https://t.co/qGI3SA0n86,0,0,2021-09-01 08:16:10
96,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:15:07
97,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:14:48
98,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:12:32
99,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:12:25
100,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 08:12:20
101,"Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must return to Repair your own Vehicle/Body.

Stop trying to be FAST AND FURIOUS AWAY FROM SPIRITUAL TRUTH OF ELOHYIM 9.13

Rabbi Wisdom",51,36,2021-09-01 08:12:02
102,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 08:05:28
103,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 08:04:31
104,"Justice is coming.

Start your engines and rev up lockdown with the explosive action blockbuster FAST &amp; FURIOUS 9 - available now on Dendy Home Cinema.

Rent it now - https://t.co/h9WlCIAFsO

#Fast9 https://t.co/N4nwNvPDS6",0,0,2021-09-01 08:00:30
105,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 07:14:07
106,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 07:13:59
107,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 06:02:29
108,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 05:51:35
109,"Fast and Furious 9 full m0vie HD 2021 https://t.co/ikuI60Ia93 via @YouTube 
#fastandfurious #TheFastSaga #F9
Fast and Furious 9 full m0vie HD 2021",1,0,2021-09-01 05:28:02
110,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 05:22:48
111,@bookmyshow I am unable to use filmypass for tickets book ...fast and furious 9 in my nearby movie hall kindly look into it and get back to me,0,0,2021-09-01 05:16:12
112,@ubaldi @SamsungFR #UbaldiJeVeuxVibrer devant le film Fast and Furious 9,0,0,2021-09-01 05:09:51
113,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 05:04:43
114,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 04:53:00
115,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 04:46:28
116,RT @JayamaruthiGobi: Fast and Furious 9 from tomorrow! Bookings to open soon on Ticketnew and Paytm soon. https://t.co/laZZ8FAWYU,0,4,2021-09-01 04:31:08
117,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 04:01:56
118,"September month for others vs CMA Students

Others waiting for :
Money hist Japanese goblin
Lucifer
Fast and furious 9
Kota factory season 2

CMA students waiting for Exam😄",2,0,2021-09-01 03:43:54
119,"F9, Money Heist, Kota Factory, and More: September Guide to Netflix, Disney+ Hotstar, and Prime Video: Money Heist season 5, Fast &amp; Furious 9, Kota Factory season 2, Lucifer season 6, Sex Education season 3, Black Widow, Shang-Chi, Bhoot Police,… https://t.co/s0s5x4AalR https://t.co/3XnJTCVpSt",0,0,2021-09-01 03:42:02
120,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 03:31:37
121,Fast and Furious 9 from tomorrow! Bookings to open soon on Ticketnew and Paytm soon. https://t.co/laZZ8FAWYU,22,4,2021-09-01 03:14:06
122,"Just finished Fast and Furious 9, what a joke of a movie, from my childhood movie, growing up with it to this gi joe shit, whoever wrote the script and directed deserves a beating, only part i liked was seeing that beauty r34 at the end, had me in tears, god i miss Paul",1,0,2021-09-01 03:11:13
123,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 03:07:53
124,"F9, Money Heist, Kota Factory, and More: September Guide to Netflix, Disney+ Hotstar, and Prime Video Money Heist season 5, Fast &amp; Furious 9, Kota Factory season 2, Lucifer season 6, Sex Education season 3, Black Widow, Shang-Chi, Bhoot Police, Cinderella, Mumbai Diaries 26/…",0,0,2021-09-01 03:03:50
125,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 03:01:12
126,"September month for others vs CMA Students

Others waiting for :
Money hist 👺
Lucifer
Fast and furious 9
Kota factory season 2

CMA students waiting for Exam 😅",37,1,2021-09-01 02:58:30
127,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 02:53:11
128,Pizza and wine while watching Fast and Furious 9 on youtube,2,0,2021-09-01 02:50:18
129,"RT @Spidex_: Fast and Furious 9 (2021)
Director: Justin Lee https://t.co/29GohkQaiM",0,18,2021-09-01 02:46:32
130,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 02:36:24
131,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 02:36:18
132,"I've been banned for 12 hours and during this time, I watched F9 aka Fast &amp; Furious 9 about 3 times. You may or may not know, the FF franchise is my favorite saga of all time. Here are my thoughts 

***SPOILERS AHEAD***",5,0,2021-09-01 02:34:56
133,@siddhu_viva @kamala_cinemas @kasi_theatre @GKcinemas @rakkicinemas @SivasakthiCine Then fast and furious 9 Release Details Pls,0,0,2021-09-01 02:11:48
134,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 02:08:53
135,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 02:06:17
136,RT @sh0w3d: I’m embarrassed to live in a world that’s allowed 9 fast and furious movies,0,422,2021-09-01 02:05:39
137,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 02:02:50
138,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 02:00:40
139,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 01:59:44
140,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,0,9,2021-09-01 01:59:32
141,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 01:59:28
142,Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,49,14,2021-09-01 01:56:08
143,Fast and Furious 9 in Kannada in Shivamogga from tomorrow. #FastandFurious #FF9InKannada https://t.co/39IntRA9zR,31,9,2021-09-01 01:54:52
144,"Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",34,10,2021-09-01 01:54:05
145,Fast and Furious 9 was entertaining asf. Sometimes that’s all that matters,0,0,2021-09-01 01:46:11
146,"Watching Fast and Furious 9, and don’t think I’ve seen any since like the 3rd one.. What are these niggas mercenaries now or something!!???",0,0,2021-09-01 01:08:51
147,GOOD TO SEE FAST AND FURIOUS 9 😭😭.,0,0,2021-09-01 00:54:14
